Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,sigma_acc,MarketCap,Method1_Raw_PortfolioNum,Method1_Raw_Portfolio,Method2_PostMean_PortfolioNum,Method2_PostMean_Portfolio,Method3_ProbQ5_PortfolioNum,Method3_ProbQ5_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.2991334645925635,0.0001050321749477,0.0867654553434384,46.67,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.2224375856073375,0.2957590802271397,0.1697800858136633,5195.33,5,Q5,4,Q4,5,Q5
ABB.ST,2010,-1.3306413948688984,-0.9761050330490944,0.0,0.0664036007230479,244254.6,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-0.847238265981916,2.109423746787797e-14,0.074648683074843,53.81,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.0194174316758118,0.0260722004121893,0.0998770451172638,5221.41,1,Q1,1,Q1,2,Q2
ADDTb.ST,2010,0.4013059207623751,0.3535658907092796,0.502894013091709,0.0520236206629069,1193.13,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,0.1044878355216566,0.1939937552582951,0.5313860466080413,4536.01,1,Q1,2,Q2,4,Q4
AFGA.OL,2010,0.3347653090225401,0.272712870415894,0.304275547250364,0.0728957878431781,2107.01,4,Q4,5,Q5,5,Q5
AFK.OL,2010,0.056797323631971,0.0917749938000507,0.1277723224578703,0.144990380884436,2736.16,2,Q2,2,Q2,3,Q3
AFRY.ST,2010,0.2271955287605978,0.2165639331526811,0.0659262986852619,0.0375566168997435,2566.5,4,Q4,4,Q4,2,Q2
AGATE.CO,2010,0.0901279155578415,0.1079492158958798,0.1662244871245135,0.1944687605029809,726.11,2,Q2,3,Q3,4,Q4
AGFEb.CO,2010,-0.8359167404783003,0.0753559535850685,0.1679806759759208,0.5685774742770818,248.02,1,Q1,2,Q2,4,Q4
AKAST.OL,2010,0.3014359311629946,0.2653930577051787,0.2495961964193711,0.0568863875976007,4308.16,4,Q4,4,Q4,4,Q4
AKRBP.OL,2010,-0.3267558667400766,-0.2823074662138617,5.373701483790683e-12,0.0389842149253773,3755.56,1,Q1,1,Q1,1,Q1
AKVA.OL,2010,-0.1317019950124689,-0.1070095833714031,4.111009348495287e-07,0.0388960401783315,344.46,1,Q1,1,Q1,1,Q1
ALFA.ST,2010,0.442248977475661,0.4245794486449663,0.853617138007058,0.0277924772346647,33806.22,5,Q5,5,Q5,5,Q5
ALKb.CO,2010,0.2651136606835459,0.1696549559900143,0.2172442619977799,0.1529855212802344,4193.19,4,Q4,4,Q4,4,Q4
AMBUb.CO,2010,0.296143174760671,0.2853185213583556,0.1740967179021132,0.0293021579448979,1268.2,4,Q4,5,Q5,4,Q4
ANODb.ST,2010,0.1014981890023048,0.1066026245626446,0.0923976577880738,0.0945878350697436,435.05,3,Q3,3,Q3,3,Q3
ANOT.ST,2010,-0.0553134162770425,0.0726893472549414,0.1367187950281826,0.2041554686746908,407.83,1,Q1,2,Q2,3,Q3
AOJb.CO,2010,0.8479012879513235,0.3555381382235403,0.5047035246877767,0.1663868937814745,283.52,5,Q5,5,Q5,5,Q5
APETIT.HE,2010,-0.0459806452746017,0.022007633899217,0.0422446001335728,0.099931588950472,820.01,2,Q2,1,Q1,2,Q2
AQ.ST,2010,0.1390188392970034,0.1347190235028592,0.0380187600036756,0.0534931612563443,672.99,3,Q3,3,Q3,2,Q2
ARP.ST,2010,0.1870980113295886,0.1803849347496859,0.02697460323584,0.0371282756130075,1713.87,4,Q4,4,Q4,2,Q2
ARRA.OL,2010,-0.1187142145880011,-0.0065540576397133,0.0392591200960874,0.112170763239966,18.04,1,Q1,1,Q1,2,Q2
ASPO.HE,2010,0.0557998702328599,0.0887196764141239,0.1158600847268755,0.1320073188276649,1142.93,2,Q2,2,Q2,3,Q3
ASSAb.ST,2010,0.2857785758439517,0.2829607714893428,0.0323043710838377,0.0110849892913913,38660.27,4,Q4,5,Q5,2,Q2
ATCOa.ST,2010,0.4152508100352901,0.3580069627477709,0.5165022898172953,0.0564455097920212,70074.61,5,Q5,5,Q5,5,Q5
ATEA.OL,2010,0.0809811589050835,0.0849917666590396,0.004357664503211,0.043050280130529,4322.57,2,Q2,2,Q2,2,Q2
ATLA.CO,2010,0.1290395189555933,0.1210352066480551,0.1430856402039738,0.1273353096622592,474.39,3,Q3,3,Q3,3,Q3
ATRAV.HE,2010,0.2776042299073878,0.24971041124912,0.1986458741369963,0.0528634562888414,1698.75,4,Q4,4,Q4,4,Q4
ATRLJb.ST,2010,0.1145559804733623,0.1144687704567145,0.1014796369114017,0.0959031982043327,7005.12,3,Q3,3,Q3,3,Q3
AUSS.OL,2010,0.146994988358786,0.1356570542395449,0.1053978727469913,0.0849314055161493,7318.1,3,Q3,3,Q3,3,Q3
AXFO.ST,2010,0.3508895361654028,0.1992677777659127,0.2574997480224904,0.1556035471007179,8893.74,4,Q4,4,Q4,4,Q4
AZN.ST,2010,0.781804557254512,0.6880056955088429,0.9988125981812512,0.0470904208572156,394961.01,5,Q5,5,Q5,5,Q5
AZT.OL,2010,-0.6333605887162715,-0.4335252458956467,1.1908776142988132e-07,0.0703335221781075,120.55,1,Q1,1,Q1,1,Q1
BAVA.CO,2010,-0.2646515597335269,-0.1497662335933955,0.0009659605017106,0.0768079144480549,1272.1,1,Q1,1,Q1,1,Q1
BEGR.ST,2010,-2.585304308663449,-1.3132574186522203,1.1102230246251563e-16,0.1099288838562948,1763.86,1,Q1,1,Q1,1,Q1
BEIAb.ST,2010,0.2386938755107905,0.1993654728717467,0.177146523057737,0.0792031097850378,1784.29,4,Q4,4,Q4,4,Q4
BEIJb.ST,2010,0.1497060076693651,0.128043416686405,0.1647307780353041,0.1464221227539112,2717.8,3,Q3,3,Q3,4,Q4
BERGb.ST,2010,0.0721706269522535,0.086857537964956,0.0629621474952865,0.0851332463631965,677.17,2,Q2,2,Q2,2,Q2
BETSb.ST,2010,0.7788891734329573,0.7110417939910503,0.9999305722927748,0.0392691130847194,1447.76,5,Q5,5,Q5,5,Q5
BIF.CO,2010,0.1673374856654599,0.1445235800506556,0.1405299175620831,0.101246230790022,160.37,3,Q3,3,Q3,3,Q3
BILIa.ST,2010,0.1199240229665749,0.1185954839130001,0.0514954058267077,0.0650705930000163,1350.41,3,Q3,3,Q3,2,Q2
BILL.ST,2010,0.0313203811409479,0.0422653586054148,0.0018383280344759,0.0453814978567912,4596.59,2,Q2,2,Q2,1,Q1
BINV.ST,2010,0.8262608309264607,0.1658250965759258,0.2548984429645093,0.4170982951923417,1143.91,5,Q5,4,Q4,4,Q4
BIOBV.HE,2010,0.8539952718676123,0.5033459898007597,0.7713671209019939,0.1105659984456702,93.48,5,Q5,5,Q5,5,Q5
BIOGb.ST,2010,0.4629885057471263,0.4104995852220104,0.6936203269145482,0.0490268752246918,1026.75,5,Q5,5,Q5,5,Q5
BIOPOR.CO,2010,-0.5029103608847496,-0.1208920082343728,0.0204176512216617,0.1484078611480108,331.14,1,Q1,1,Q1,2,Q2
BITTI.HE,2010,0.072443090390268,0.1063656734536166,0.1761702209703527,0.2401905147663041,778.37,2,Q2,3,Q3,4,Q4
BNOR.OL,2010,-0.077674076223329,-0.0552314350087571,2.519985719151574e-05,0.0423665962091636,3409.22,1,Q1,1,Q1,1,Q1
BO.CO,2010,-1.0411098383606978,-1.001052175853722,0.0,0.0220694816292328,1924.6,1,Q1,1,Q1,1,Q1
BOL.ST,2010,0.2228038912186057,0.1867042876533569,0.1641580248889005,0.082253191275825,17939.47,4,Q4,4,Q4,4,Q4
BOLJ.ST,2010,0.0469253657327048,0.0651061023909803,0.0299558426584148,0.0707678530431347,223.07,2,Q2,2,Q2,2,Q2
BONHR.OL,2010,0.2640777094561875,0.2584305789211737,0.0495638836506159,0.0230547037168048,6689.45,4,Q4,4,Q4,2,Q2
BOR.OL,2010,-0.0253126787179551,0.0573436112324682,0.0960679582968451,0.1402415748344709,346.22,2,Q2,2,Q2,3,Q3
BOREO.HE,2010,-0.0453757680794075,0.0479172747479219,0.0877383712877075,0.1380158214094203,59.42,2,Q2,2,Q2,3,Q3
BORG.ST,2010,0.4971183487468168,0.4227860421700792,0.7055304460194755,0.0571692491798751,572.49,5,Q5,5,Q5,5,Q5
BOUV.OL,2010,0.4474950690335308,0.2299671270361342,0.3029246872570461,0.1597317125726733,524.76,5,Q5,4,Q4,5,Q5
BRIMH.IC,2010,0.2342223978096489,0.2289764691362108,0.0222518887713252,0.0249122688971571,409.54,4,Q4,4,Q4,2,Q2
BTSb.ST,2010,0.3185756450537942,0.2951568409855125,0.2818753460139434,0.0419108326802593,538.4,4,Q4,5,Q5,4,Q4
CARLb.CO,2010,-0.3373168662278126,-0.2593787030039414,2.7804296665046024e-07,0.0531821299686865,65590.11,1,Q1,1,Q1,1,Q1
CAST.ST,2010,0.1753692659058826,0.1683805909300627,0.0321243669122612,0.0418794761622081,10090.02,3,Q3,4,Q4,2,Q2
CATE.ST,2010,-0.0017503570728428,0.0978041524276111,0.1748622029319338,0.2857446484500022,821.07,2,Q2,2,Q2,4,Q4
CBRAIN.CO,2010,0.3214398484370066,0.1882520055481054,0.2430083399953018,0.1563286128818878,131.55,4,Q4,4,Q4,4,Q4
CEMAT.CO,2010,0.2427117834870049,0.1490107208334426,0.2089798740250377,0.1914498713036661,568.5,4,Q4,3,Q3,4,Q4
CEVI.ST,2010,0.3640118968935888,0.2210508352159171,0.277243377603749,0.1347932485911542,192.99,5,Q5,4,Q4,4,Q4
CHEMM.CO,2010,0.0467399267399267,0.0867817660417927,0.1202321537073843,0.140376077458275,248.2,2,Q2,2,Q2,3,Q3
CLASb.ST,2010,0.3479708019575213,0.2216338249042897,0.2724203796124647,0.1263692453859242,4572.67,4,Q4,4,Q4,4,Q4
CMBT.OL,2010,-0.0318182843189366,-0.0100965720110682,0.00069385455613,0.0486559398882236,5105.55,2,Q2,1,Q1,1,Q1
COLOb.CO,2010,0.5878556806867167,0.563185842725714,0.9991349349611088,0.0273022092752241,19988.83,5,Q5,5,Q5,5,Q5
COLUM.CO,2010,1.3121132694884197,1.1992467566807608,1.0,0.0375620722145478,124.63,5,Q5,5,Q5,5,Q5
CONTX.OL,2010,0.1270130659374051,0.1180420412450572,0.1716861029833611,0.1812899841369988,141.11,3,Q3,3,Q3,4,Q4
COREa.ST,2010,0.1031891420987925,0.1138827044306449,0.2036896297292696,0.6950984956808207,129.36,3,Q3,3,Q3,4,Q4
CRADb.ST,2010,-0.4199834162520729,0.0416776827067734,0.1278174801915079,0.2935416007052074,132.63,1,Q1,2,Q2,3,Q3
CTH1V.HE,2010,-0.2510521175530496,-0.1647456539616721,0.0001489366652199,0.0647613555127697,596.54,1,Q1,1,Q1,1,Q1
CTY1S.HE,2010,0.0760601068783085,0.0798086784735032,0.001524951932319,0.0383696968828264,4696.58,2,Q2,2,Q2,1,Q1
DANT.CO,2010,-0.2057528617552099,-0.1376033239922869,0.0001530646379513,0.0605679731965882,32.0,1,Q1,1,Q1,1,Q1
DEMANT.CO,2010,1.3121132694884197,1.2226915605011843,1.0,0.0330785078290393,25797.37,5,Q5,5,Q5,5,Q5
DFDS.CO,2010,0.1939108099298991,0.1883637484470759,0.0172353781382974,0.03187936245523,3188.39,4,Q4,4,Q4,2,Q2
DIGIA.HE,2010,0.3779140850032122,0.3495639356134986,0.4870626961228664,0.0404296743238352,246.77,5,Q5,5,Q5,5,Q5
DIGIGR.HE,2010,0.2926123860421256,0.2055262448974844,0.2371906322058832,0.1138081688350982,210.1,4,Q4,4,Q4,4,Q4
DIOS.ST,2010,0.1130677742926573,0.1131737232206173,0.0024009087134984,0.03509765486872,769.55,3,Q3,3,Q3,2,Q2
DNO.OL,2010,-0.0682206879077721,0.0047178713588937,0.0307175857278905,0.0949931502683934,4587.62,1,Q1,1,Q1,2,Q2
DNORD.CO,2010,0.049532551191765,0.0618507740461258,0.0117118664404799,0.0564158821147826,10416.57,2,Q2,2,Q2,2,Q2
DOV1V.HE,2010,0.2895746009096591,0.154523263096963,0.2215650989792754,0.2134965939982604,148.03,4,Q4,3,Q3,4,Q4
DSV.CO,2010,0.6085852810313757,0.5633606566866468,0.9910105748622192,0.0369587751633012,21917.53,5,Q5,5,Q5,5,Q5
DUNI.ST,2010,0.2586943005181346,0.2535252928564694,0.0374987482631171,0.0224424542517505,2224.61,4,Q4,4,Q4,2,Q2
EIOF.OL,2010,0.210122481606723,0.1962282865810858,0.0814010543523273,0.0479699679578005,801.83,4,Q4,4,Q4,3,Q3
EKTAb.ST,2010,0.5488510035964814,0.4919061804417121,0.904301042248754,0.0452265899286477,6749.47,5,Q5,5,Q5,5,Q5
ELANb.ST,2010,0.0616105322671836,0.0692845401983445,0.0058023706326645,0.0480617664180484,256.3,2,Q2,2,Q2,2,Q2
