Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method2_PostMean,Q5,2010-02-28,62,1.0000000000000002,1.0,0.17307832298224696,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-02-28,62,0.9999999999999999,1.0,0.3177417233747282,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-02-28,56,1.0,1.0,0.23405059980441936,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-02-28,57,1.0000000000000002,1.0,0.2099879667302761,0.1,0.4,4,3,False
Method3_ProbQ5,Q4,2010-02-28,58,1.0,0.9999999999999999,0.18148093191549786,0.1,0.4000000000000001,5,2,False
Method3_ProbQ5,Q5,2010-02-28,61,1.0,1.0,0.16878235630068272,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-03-31,62,1.0000000000000002,1.0,0.500196795090971,0.10000000000000002,0.4,4,3,False
Method1_Raw,Q2,2010-03-31,58,0.9999999999999999,1.0,0.38397927133584614,0.1,0.3953501056655615,4,1,False
Method1_Raw,Q3,2010-03-31,55,1.0,1.0,0.20343994433046095,0.1,0.4,4,3,False
Method1_Raw,Q4,2010-03-31,58,1.0,1.0,0.08703268989981623,0.08174972883679141,0.39357827541380896,5,0,False
Method1_Raw,Q5,2010-03-31,61,1.0,1.0,0.17587274763902697,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-03-31,62,1.0000000000000002,1.0,0.49140877101946806,0.10000000000000002,0.4,4,3,False
Method2_PostMean,Q2,2010-03-31,57,0.9999999999999998,1.0,0.33550257666980837,0.1,0.3884507736988221,4,2,False
Method2_PostMean,Q3,2010-03-31,56,1.0,0.9999999999999999,0.2242109312379721,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-03-31,57,1.0,1.0,0.09668171563076115,0.0831697766378149,0.4000000000000001,5,0,False
Method2_PostMean,Q5,2010-03-31,62,0.9999999999999998,1.0,0.1725939571097957,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-03-31,62,1.0,1.0,0.34517492688308543,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-03-31,56,1.0,1.0,0.22504248809726773,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-03-31,57,1.0,1.0,0.20991757197107055,0.1,0.4,4,4,False
Method3_ProbQ5,Q4,2010-03-31,58,0.9999999999999999,1.0,0.17150789192718346,0.1,0.4,5,2,False
Method3_ProbQ5,Q5,2010-03-31,61,1.0,1.0,0.16894867122266663,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-04-30,63,0.9999999999999998,1.0,0.4846917254087799,0.10000000000000002,0.4,4,3,False
Method1_Raw,Q2,2010-04-30,58,1.0,1.0,0.36187076943327007,0.1,0.39541989364624863,4,2,False
Method1_Raw,Q3,2010-04-30,56,1.0,1.0,0.19700420222881002,0.1,0.4,4,3,False
Method1_Raw,Q4,2010-04-30,58,1.0,1.0,0.08774283966036334,0.08283195030460569,0.4,5,0,False
Method1_Raw,Q5,2010-04-30,61,1.0,1.0,0.1709123458336992,0.1,0.4,4,4,False
Method2_PostMean,Q1,2010-04-30,63,1.0,1.0,0.4762439962266473,0.10000000000000002,0.4,4,3,False
Method2_PostMean,Q2,2010-04-30,57,1.0,1.0,0.31232471423337865,0.10000000000000002,0.4000000000000001,4,2,False
Method2_PostMean,Q3,2010-04-30,57,0.9999999999999999,1.0,0.21911571647073463,0.1,0.4,4,3,False
Method2_PostMean,Q4,2010-04-30,57,1.0,1.0,0.09664921193126136,0.08283195030460568,0.4,5,0,False
Method2_PostMean,Q5,2010-04-30,62,1.0,1.0,0.16788729845561934,0.1,0.4,4,4,False
Method3_ProbQ5,Q1,2010-04-30,63,1.0000000000000002,1.0,0.33728846418293545,0.10000000000000002,0.4,4,3,False
Method3_ProbQ5,Q2,2010-04-30,56,1.0,1.0,0.21605833869291036,0.1,0.4,4,3,False
Method3_ProbQ5,Q3,2010-04-30,57,1.0000000000000002,0.9999999999999999,0.22176870861828019,0.1,0.4,4,4,False
Method3_ProbQ5,Q4,2010-04-30,58,1.0,1.0,0.1800353793298694,0.1,0.4000000000000001,5,2,False
Method3_ProbQ5,Q5,2010-04-30,62,1.0000000000000002,1.0,0.16386794780130376,0.1,0.4,4,4,False
Method1_Raw,Q1,2010-05-31,63,0.9999999999999998,1.0,0.4337983065706723,0.1,0.4,4,3,False
