FormationYear,Sector,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2010,Communication Services,Method1_Raw,1,Q1,4,23014.5,-0.30809904684866907,-0.23675741239338532,0.058444515387677,0.060522960155343704
2010,Communication Services,Method1_Raw,2,Q2,4,14201.98,0.1325051395803385,0.12712764182666672,0.15233441202415393,0.07561964340609093
2010,Communication Services,Method1_Raw,3,Q3,4,503467.5,0.1707963635927158,0.17042958316733733,0.003319969306294075,0.010964541942587076
2010,Communication Services,Method1_Raw,4,Q4,4,23528.69,0.25528897168231535,0.2388849171308642,0.23785977112577741,0.05647860079048185
2010,Communication Services,Method1_Raw,5,Q5,4,459097.23,0.686028438263281,0.6229247756182472,0.7927833518058979,0.05293939658122375
2010,Communication Services,Method2_PostMean,1,Q1,4,23014.5,-0.30809904684866907,-0.23675741239338532,0.058444515387677,0.060522960155343704
2010,Communication Services,Method2_PostMean,2,Q2,4,14201.98,0.1325051395803385,0.12712764182666672,0.15233441202415393,0.07561964340609093
2010,Communication Services,Method2_PostMean,3,Q3,4,503467.5,0.1707963635927158,0.17042958316733733,0.003319969306294075,0.010964541942587076
2010,Communication Services,Method2_PostMean,4,Q4,4,23528.69,0.25528897168231535,0.2388849171308642,0.23785977112577741,0.05647860079048185
2010,Communication Services,Method2_PostMean,5,Q5,4,459097.23,0.686028438263281,0.6229247756182472,0.7927833518058979,0.05293939658122375
2010,Communication Services,Method3_ProbQ5,1,Q1,4,156993.76,-0.2591849032403463,-0.1923225324211575,0.002198606297085325,0.026707355034731976
2010,Communication Services,Method3_ProbQ5,2,Q2,4,370238.94000000006,0.1288210356539415,0.12918096807349275,0.015899966896151897,0.023387298948483626
2010,Communication Services,Method3_ProbQ5,3,Q3,4,12525.48,0.1602561743401249,0.16087379304514982,0.17513484283627584,0.071054249385613
2010,Communication Services,Method3_ProbQ5,4,Q4,4,24454.489999999998,0.2205991212529805,0.20195250103399787,0.2587252518143894,0.08243684292567495
2010,Communication Services,Method3_ProbQ5,5,Q5,4,459097.23,0.686028438263281,0.6229247756182472,0.7927833518058979,0.05293939658122375
2010,Consumer Discretionary,Method1_Raw,1,Q1,7,3902.3,-0.2991970619419858,-0.1737134460034386,0.03728702338899296,0.08258783612684728
2010,Consumer Discretionary,Method1_Raw,2,Q2,6,25923.479999999996,0.074951310673318,0.08040502989922042,0.11835729427505004,0.0730517419344517
2010,Consumer Discretionary,Method1_Raw,3,Q3,6,16978.06,0.15669103046638153,0.1518163391121564,0.10144108772319738,0.04686518512764415
2010,Consumer Discretionary,Method1_Raw,4,Q4,6,58884.84,0.2762200824461221,0.2593145421265729,0.24771996782734454,0.047872849850472965
2010,Consumer Discretionary,Method1_Raw,5,Q5,7,252410.86,0.6125897512451951,0.5102962816860115,0.7016969425504774,0.07671544843101685
2010,Consumer Discretionary,Method2_PostMean,1,Q1,7,3902.3,-0.2991970619419858,-0.1737134460034386,0.03728702338899296,0.08258783612684728
2010,Consumer Discretionary,Method2_PostMean,2,Q2,6,36673.74,0.07561827411394538,0.08036137703157031,0.08487033776502521,0.05860208133508585
2010,Consumer Discretionary,Method2_PostMean,3,Q3,6,6227.8,0.15602406702575414,0.1518599919798065,0.13492804423322222,0.061314845727009994
2010,Consumer Discretionary,Method2_PostMean,4,Q4,6,54787.92999999999,0.27829150288395704,0.25778937352815096,0.24834450812993225,0.051528048959279614
2010,Consumer Discretionary,Method2_PostMean,5,Q5,7,256507.77000000002,0.6108142480127653,0.5116035690560875,0.7011616222911164,0.0735824206234683
2010,Consumer Discretionary,Method3_ProbQ5,1,Q1,7,17038.01,-0.1498477761999045,-0.10100768781463876,0.010487743623551971,0.04888596119836486
2010,Consumer Discretionary,Method3_ProbQ5,2,Q2,6,11604.640000000001,-0.017471302327750526,0.062193632190189786,0.050016159125694515,0.055325549353542634
2010,Consumer Discretionary,Method3_ProbQ5,3,Q3,6,58537.409999999996,0.09830444077475403,0.11149136994510589,0.16886734233550624,0.08643343318142573
2010,Consumer Discretionary,Method3_ProbQ5,4,Q4,6,18508.62,0.2527884517730566,0.23302752444905425,0.2799006747574057,0.06534964846082995
2010,Consumer Discretionary,Method3_ProbQ5,5,Q5,7,252410.86,0.6125897512451951,0.5102962816860115,0.7016969425504774,0.07671544843101685
2010,Consumer Staples,Method1_Raw,1,Q1,5,70140.03,-0.11383495459128823,-0.08584726931532285,0.04320379284850634,0.06030614240441259
2010,Consumer Staples,Method1_Raw,2,Q2,5,101605.21,0.06428889168827871,0.07278487326809782,0.11378442444022144,0.0792918575054684
2010,Consumer Staples,Method1_Raw,3,Q3,4,13869.34,0.12798932267940957,0.1267009023068783,0.12366506537130187,0.06840370202855932
2010,Consumer Staples,Method1_Raw,4,Q4,5,42614.24,0.23468998053793827,0.22055242254035487,0.18540769036474405,0.05382169770226802
2010,Consumer Staples,Method1_Raw,5,Q5,5,22396.22,0.3591839193791583,0.30170713006621747,0.4243567786085266,0.08556051141822152
2010,Consumer Staples,Method2_PostMean,1,Q1,5,70140.03,-0.11383495459128823,-0.08584726931532285,0.04320379284850634,0.06030614240441259
2010,Consumer Staples,Method2_PostMean,2,Q2,5,101605.21,0.06428889168827871,0.07278487326809782,0.11378442444022144,0.0792918575054684
