PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.08142276028330023,0.07841805354391415,0.03416012935520432,0.0268955908155184,0.015161870623621176,0.20240814812942842,2.230331904267821,2.4507210259374976,1.2791388434454318,-0.003004706739386097,-0.04726263092809584,0.9507955171517253,0.2964111395000648,-0.061748579425302264,-1.0455983942423512
LongShort,FF3,0.07256634650602567,0.0696715696966794,0.027851448692205488,0.009322550385229889,0.004577451752402428,0.1973271408302717,2.6270853914850365,2.869821953938856,1.2937843561754698,-0.0028947768093395823,-0.04471489781381463,0.9374161422380562,0.2003730122139884,-0.07857038262057128,-1.2827409695571463
LongShort,FF3+MOM,0.037091389492702846,0.0377254988335676,0.0051965802988805055,0.2025146033009393,0.1360341639943472,0.8347392582382094,1.278907004851455,1.4971732256692696,0.20891850411288182,0.0006341093408444437,-0.03189480919383644,0.9868538028561107,0.40129951348536785,0.016488081013350694,-0.8402599048864398
LongShort,FF5,0.05789175543788139,0.05484152417244853,0.017203524652059515,0.04772136547555039,0.03549458636009706,0.45781133689412146,1.9930185698028173,2.1181009053794333,0.7440066130594724,-0.0030502312654265666,-0.040688230785817674,0.9371986257864613,0.26894609814637227,-0.07884459610484026,-1.1071462285028044
LongShort,FF5+MOM,0.03833300642332408,0.03894765649813778,0.003295169316480554,0.1978876473779385,0.14526939238604086,0.8999335382188218,1.2922347988782499,1.4626154583919342,0.12591804177853802,0.0006146500748136739,-0.0350378371068284,0.9876309679251123,0.3713524860079316,0.015513384720597418,-0.8950308154107922
Q5,CAPM,0.04095828783066362,0.039238910334207275,0.04224033441811584,0.02175865106932684,0.011421908762979882,0.015282790886521624,2.313620163898616,2.5543710369365793,2.44776736194828,-0.0017193774964563147,0.001282046587452193,0.9415080372384621,0.9586368340198363,-0.07342313903751865,0.05189850733413642
Q5,FF3,0.03659093236957039,0.03543144492771086,0.03799108407704989,0.01617005205204558,0.01016889995518322,0.0121869803954604,2.426939664165407,2.596272820521436,2.53118570070071,-0.0011594874418752038,0.0014001517074638328,0.9544407461403057,0.9474538293994281,-0.05716924364312586,0.06594856047706378
Q5,FF3+MOM,0.021128489828347845,0.02013048042311766,0.02355555157562214,0.22738396012413897,0.21299788941591102,0.17289159992011838,1.2111037928424884,1.2496261725869764,1.368198658593475,-0.0009980094052206082,0.002427061747283424,0.9664183123921333,0.920993066267753,-0.0421290392966096,0.09924985585592523
Q5,FF5,0.03153425645531406,0.03037610915687023,0.03283235457749535,0.054241440466689106,0.04308542905565216,0.04547864737201013,1.9371532756252843,2.0368189656740423,2.0137335895212742,-0.0011581472984648344,0.001298098122160328,0.9581214524549917,0.9550528991948062,-0.052546497213446515,0.05640067570269196
Q5,FF5+MOM,0.017009404409523116,0.015613355546079172,0.01922211149731753,0.3313534411194152,0.33595966753579876,0.27337548808070444,0.9739493590629303,0.9646895267504554,1.098588019183118,-0.0013960488634425783,0.002212707087794981,0.9532069429798278,0.9286420832725479,-0.05871985730279806,0.08961445799029483
