FormationYear,Exchange,Method,PortfolioNum,Portfolio,n_firms,total_marketcap,avg_theta_obs,avg_theta_post_mean,avg_p_q5,avg_sigma_acc
2010,Copenhagen,Method1_Raw,1,Q1,12,70466.48,-0.6176725762057794,-0.4044281872942808,0.040958835907640996,0.10624199510161646
2010,Copenhagen,Method1_Raw,2,Q2,12,40978.19,-0.02192528957888015,0.0017342909044483535,0.07514861781387702,0.06961802011618029
2010,Copenhagen,Method1_Raw,3,Q3,11,236895.40000000002,0.10096352244400904,0.10481408880534325,0.1638910300552393,0.09549305445267216
2010,Copenhagen,Method1_Raw,4,Q4,12,50304.2,0.237377794792058,0.21552940001164855,0.2068216273711975,0.06556621566081548
2010,Copenhagen,Method1_Raw,5,Q5,12,316934.15,0.7620814727552481,0.6684468116772969,0.8046847588071889,0.06972381892405176
2010,Copenhagen,Method2_PostMean,1,Q1,12,70381.75,-0.6030739508494428,-0.4139374569983656,0.02718342560886701,0.09108875265559267
2010,Copenhagen,Method2_PostMean,2,Q2,12,44470.7,-0.034939467789478644,0.010846372422253184,0.07393703797413699,0.07673061343561718
2010,Copenhagen,Method2_PostMean,3,Q3,11,233487.62,0.09923503464865836,0.10524738500855767,0.18024047384270916,0.10426467168167605
2010,Copenhagen,Method2_PostMean,4,Q4,12,32643.160000000003,0.23992541970392725,0.20813462685710007,0.20568549056609908,0.07874886585194264
2010,Copenhagen,Method2_PostMean,5,Q5,12,334595.19,0.7595338478433787,0.6758415848318453,0.8058208956122873,0.05654116873292459
2010,Copenhagen,Method3_ProbQ5,1,Q1,12,97749.48,-0.4081595914959695,-0.31449733915812117,0.006869896912414616,0.0492087914812523
2010,Copenhagen,Method3_ProbQ5,2,Q2,12,176710.94000000003,-0.0774292712654681,-0.0026126293650144245,0.053382551526074795,0.06749585687501955
2010,Copenhagen,Method3_ProbQ5,3,Q3,11,81400.18000000001,-0.010379219834207159,0.05994444977524907,0.1511661599540893,0.10654067667256811
2010,Copenhagen,Method3_ProbQ5,4,Q4,12,25122.63,0.18798059710240342,0.16368120143465614,0.2732049601085152,0.1277772456785629
2010,Copenhagen,Method3_ProbQ5,5,Q5,12,334595.19,0.7595338478433787,0.6758415848318453,0.8058208956122873,0.05654116873292459
2010,Helsinki,Method1_Raw,1,Q1,16,71382.94,-0.7663724880565387,-0.5123285516517943,0.04829141152950097,0.0856060451409547
2010,Helsinki,Method1_Raw,2,Q2,16,80060.8,0.0355555425034782,0.05625097160909752,0.11407398282870104,0.08504979446072469
2010,Helsinki,Method1_Raw,3,Q3,15,284226.45,0.1335304806277267,0.12996622351673473,0.11127472537891893,0.05950650458142626
2010,Helsinki,Method1_Raw,4,Q4,16,221518.38999999998,0.2686647315566105,0.24554279921372624,0.28409141522900355,0.06374140558548567
2010,Helsinki,Method1_Raw,5,Q5,16,378582.33999999997,0.7174907944233317,0.5453359074639045,0.7239369269277764,0.10044547683038588
2010,Helsinki,Method2_PostMean,1,Q1,16,91624.04000000001,-0.7614767989124192,-0.5146678657405668,0.03487075389350659,0.07639403070655394
2010,Helsinki,Method2_PostMean,2,Q2,16,59819.700000000004,0.030659853359358776,0.05859028569786999,0.1274946404646954,0.09426180889512545
2010,Helsinki,Method2_PostMean,3,Q3,15,105361.92,0.1344555192039172,0.1295597629999147,0.12792003453464634,0.06582592894805109
2010,Helsinki,Method2_PostMean,4,Q4,16,398692.09,0.2756241454319269,0.23923528934749544,0.2613785497146573,0.06975054342548478
2010,Helsinki,Method2_PostMean,5,Q5,16,380273.17,0.7096641568828367,0.552024474064654,0.7310448151086282,0.08851187864667599
2010,Helsinki,Method3_ProbQ5,1,Q1,16,281639.60000000003,-0.6411365912369167,-0.42911690869028674,0.012116331640983847,0.04561815640932322
2010,Helsinki,Method3_ProbQ5,2,Q2,16,119906.15,0.015315307459948978,0.04133003263172165,0.06049114717448293,0.059893332872204066
2010,Helsinki,Method3_ProbQ5,3,Q3,15,55288.87,0.05104677321906043,0.08451074898748617,0.17450101210378707,0.10440744817202051
2010,Helsinki,Method3_ProbQ5,4,Q4,16,198663.12999999998,0.2488241830166375,0.21317803600001556,0.3074667987863231,0.09872471947316556
2010,Helsinki,Method3_ProbQ5,5,Q5,16,380273.17,0.7096641568828367,0.552024474064654,0.7310448151086282,0.08851187864667599
2010,Oslo,Method1_Raw,1,Q1,13,37953.5,-0.5075153602224564,-0.3230745368816149,0.033623474881640775,0.08345315471625078
2010,Oslo,Method1_Raw,2,Q2,12,84364.07,-0.02807264348209047,0.00026797564748231705,0.0768672169289268,0.07548252362109438
2010,Oslo,Method1_Raw,3,Q3,12,106334.54,0.09962406179158866,0.103281069729325,0.14950364767956031,0.0897595542002016
2010,Oslo,Method1_Raw,4,Q4,12,188249.66,0.21870209251741266,0.20897932899973157,0.1855451085861475,0.05020424658746573
2010,Oslo,Method1_Raw,5,Q5,12,576864.36,0.45180686441160184,0.37164106510543254,0.5456183312938087,0.08957860230449101
2010,Oslo,Method2_PostMean,1,Q1,13,37953.5,-0.5075153602224564,-0.3230745368816149,0.033623474881640775,0.08345315471625078
2010,Oslo,Method2_PostMean,2,Q2,12,84364.07,-0.02807264348209047,0.00026797564748231705,0.0768672169289268,0.07548252362109438
2010,Oslo,Method2_PostMean,3,Q3,12,106334.54,0.09962406179158866,0.103281069729325,0.14950364767956031,0.0897595542002016
