PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
LongShort,CAPM,0.0830163790985475,0.07348780179610977,0.03875075552604504,0.020961658170633113,0.046924506731768956,0.07667705757976084,2.328057493922886,2.000000522924596,1.7799825919128545,-0.009528577302437766,-0.04426562357250252,0.8525617352943857,0.2913464831128072,-0.18597738005998649,-1.0566415592951381
LongShort,FF3,0.07642780034230068,0.06558566445283792,0.033246204447102475,0.01066962327906551,0.021489276175010064,0.05191176889651805,2.57911111214584,2.318652715373761,1.9562946795051008,-0.010842135889456555,-0.043181595895193665,0.7910046224817178,0.2074534427839092,-0.2651949380646645,-1.2627726837162265
LongShort,FF3+MOM,0.030515315838178878,0.03537196864562594,0.00999115603667762,0.3611276973638198,0.26376497466509385,0.6513427795682745,0.9154628353570381,1.1209067424859598,0.4526259472583128,0.00485665280742844,-0.020524159801512957,0.9155221953728039,0.606539859648604,0.10614754964198113,-0.51545470222562
LongShort,FF5,0.06160584206463558,0.0520385395629369,0.021732275877713977,0.02197907399897492,0.04147281267723746,0.22893169528632673,2.310120691970643,2.052998470697666,1.207086433329853,-0.009567302501693076,-0.03987356618691943,0.7926508113752064,0.21216803122629746,-0.26305890787745484,-1.2497733986478576
LongShort,FF5+MOM,0.032321252419081854,0.037376115715264085,0.006121122346067186,0.2890249381771459,0.20300759123854295,0.7711922238447801,1.0633153564198288,1.2775540390954154,0.29124238793873064,0.005054863296183688,-0.02620013007299681,0.9035096561358258,0.4736362276462378,0.12131214340678691,-0.7173087071971387
Q5,CAPM,0.04594577836212339,0.03837779132822635,0.043074757331457214,0.0104948422213329,0.01008703600682681,0.012293641323295912,2.5847423161983,2.598870771941548,2.5277619369460878,-0.007567987033896953,-0.0028710210306661446,0.7436131114753208,0.9072135324235915,-0.327310730344094,-0.1166316977116234
Q5,FF3,0.04179582090599749,0.03459373791050664,0.03928468814322132,0.006429012253251765,0.00950092749995557,0.00883242281358454,2.7559136925047363,2.6203880322344753,2.646099685295718,-0.007202082995507182,-0.0025111327627922106,0.720029899885053,0.90569561778938,-0.3586878931831254,-0.11854945697893438
Q5,FF3+MOM,0.028216862862596163,0.02090366109001754,0.02518432427980058,0.11096129344674321,0.18445435852129832,0.13139516064770262,1.6014676883824683,1.332082193397633,1.5152595871956733,-0.007313201772567814,-0.0030325385827855156,0.7560053415350079,0.9000394724262839,-0.3109585884018826,-0.12569680357813337
Q5,FF5,0.036065392907942494,0.02898831642650176,0.03396377031943297,0.026267637283868828,0.042347892252033725,0.032860221853594274,2.2401061535860847,2.044153485251564,2.1498290495543104,-0.007077076481463079,-0.0021016225885311796,0.7413405075182276,0.9257003044153811,-0.3303248008386354,-0.09331909065454459
Q5,FF5+MOM,0.023968517956698798,0.016352181272110314,0.021060821918655073,0.17040221456013382,0.29463992989022136,0.2013001845559128,1.3762681235241097,1.0509772629240914,1.2824192158381014,-0.007616336684586923,-0.002907696038042945,0.7437747804617518,0.9030561148950236,-0.3271032358760941,-0.12188518952354835
