Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,MarketCap,PROF,d_ACT,d_CHE,d_LCT,d_STD,d_TXP,WCA,AT_lag,AvgAT,WCA_scaled,CFO,CFO_lag1,dREV,CFO_lag1_scaled,CFO_scaled,dREV_scaled,PPE_scaled,CFO_lead1,CFO_lead1_scaled,usable,sector_idx,firm_idx_x,FiscalYear,ForecastDate,ForecastCutoffDate,ForecastWindowStart,cfo_forecast,forecast_timing_valid,has_analyst_cfo_forecast,CFO_lead1_analyst_scaled,firm_idx_y,sigma_mean,sigma_median,sigma_std,sigma_q05,sigma_q95,n_draws,sigma_measure,sigma_scale_mean,sigma_scale_median,sigma_scale_std,sigma_scale_q05,sigma_scale_q95,sigma_scale_n_draws,sigma_acc,sigma_acc_measure
2022,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,200312.42,15086.86,237279.95,85971.0,2474.29,87585.57,610771.52,-6661.89,407132.03,337959.46,48197.73,13131.99,4128.35,150637.96,62.91,74071.35,0.1989270533076551,37826.07000000001,-4956.130000000001,38582.07000000001,27904.42,522.05,32626.600000000002,551842.88,581307.2,0.05612626163928471,-6661.89,15588.02,95981.37000000005,0.026815460052791368,-0.01146018834791656,0.16511299017111788,0.15067002438641738,29465.33,0.050688052719801174,True,5,1,2022.0,2023-05-05,2023-06-30,2023-03-07,47735.6917009111,True,True,0.08211784010401231,1,0.1013065749457713,0.09642883409850317,0.03516853487951247,0.054699876020108076,0.16553690385922465,8000,student_t_residual_sd,0.05247606939344088,0.05060362292817849,0.016660696054199543,0.028696970391014858,0.08311997809991539,8000,0.1013065749457713,student_t_residual_sd
2023,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,236015.52,19350.12,250198.15,85006.31000000001,2527.82,100262.7,690105.76,29465.33,534687.97,429283.53,58428.73,17076.89,10129.78,184351.82,67.11,119232.52,0.2923930856772672,35703.09999999998,4263.259999999998,12918.199999999983,-964.6899999999878,53.5300000000002,17610.48000000001,610771.52,650438.64,0.027074775262429074,29465.33,-6661.89,127555.93999999994,-0.010242149820619514,0.04530070661238699,0.1961075682711592,0.15414628503620265,27189.88,0.04180237508644936,True,5,1,2023.0,2024-05-24,2024-06-30,2024-03-05,57515.7765303423,True,True,0.08842613736838005,1,0.09184618186743157,0.08756863470114962,0.031236186938050078,0.049639173576275335,0.14876332578175874,8000,student_t_residual_sd,0.05274263002574202,0.050398862944902326,0.017331870728647024,0.028665186289264167,0.08463007951390698,8000,0.09184618186743157,student_t_residual_sd
2024,8TRA.ST,Traton SE,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,268333.6,29911.59,273699.33,94135.63,3577.15,113504.03,771288.47,27189.88,551617.57,434259.54,64175.09,17197.02,10202.01,209898.91,70.6,164443.17,0.2866032787331836,32318.079999999987,10561.470000000001,23501.180000000022,9129.319999999992,1049.33,8434.079999999956,690105.76,730697.115,0.011542511701308628,27189.88,29465.33,16929.599999999977,0.04032495735254135,0.03721087635606718,0.023169107489907054,0.15533663356533164,,,True,5,1,2024.0,2025-06-26,2025-06-30,2025-03-10,57282.5990909835,True,True,0.07839445088131147,1,0.06267468421073824,0.058883741624644645,0.023564890519011897,0.03176129161215732,0.1068576556257155,8000,student_t_residual_sd,0.040183992033115463,0.03780409044255037,0.014843809436479144,0.020436489052924715,0.06786891639757407,8000,0.06267468421073824,student_t_residual_sd
2013,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,5294.71,217.71,2718.04,72.57,133.83,2852.81,9466.96,1173.27,14924.95,11545.02,2527.05,0.0,73.1,4080.83,32.04,15967.29,0.1895951002584571,421.3299999999999,-64.78,435.00999999999976,14.359999999999992,8.850000000000009,74.31000000000017,8354.86,8910.91,0.008339215635664615,1173.27,1322.65,391.3100000000013,0.14843040721991357,0.13166668724069708,0.04391358458339287,0.3201479983525813,635.66,0.07133502638899955,True,2,3,2013.0,2014-05-09,2014-06-30,2014-02-05,855.032029336133,True,True,0.09595339076885896,3,0.025990705544307068,0.023000821934897407,0.01262993722409235,0.012279470948499507,0.048993723077366366,8000,student_t_residual_sd,0.01822556309625419,0.016241821996305875,0.008782425865564505,0.008609657664000825,0.03420553886429855,8000,0.025990705544307068,student_t_residual_sd
2014,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,6790.03,253.04,3453.48,85.31,137.07,3653.81,11992.77,635.66,16363.61,12356.76,3046.02,0.0,110.23,5516.18,43.13,16694.95,0.1530045994916636,1495.3199999999997,35.329999999999984,735.44,12.740000000000009,3.2399999999999807,740.5299999999997,9466.96,10729.865,0.06901577978846889,635.66,1173.27,1438.6599999999999,0.1093462033306104,0.05924212466792452,0.134079972115213,0.34052711753596154,1659.8,0.15468973747572778,True,2,3,2014.0,2015-06-26,2015-06-30,2015-02-03,1311.96792577866,True,True,0.12227254730405834,3,0.026405776652599022,0.023829285692540593,0.011663072487918246,0.013170373388439582,0.048459401139451665,8000,student_t_residual_sd,0.019783276261728315,0.01796535950330988,0.008582292072873789,0.009974514537121828,0.03589664835925255,8000,0.026405776652599022,student_t_residual_sd
2015,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,7857.6,480.37,4441.62,300.36,325.48,4494.99,14543.05,1659.8,19231.1,14349.22,3720.21,0.0,112.82,6904.18,55.47,27771.7,0.1507044176072071,1067.5700000000006,227.33,988.1399999999999,215.05,188.41000000000003,255.56000000000074,11992.77,13267.91,0.01926151142116586,1659.8,635.66,2867.489999999998,0.04790958033330042,0.12509882867761388,0.21612220764234893,0.3387865911059089,1191.11,0.0897737473347347,True,2,3,2015.0,2016-06-10,2016-06-30,2016-02-03,1309.09080082284,True,True,0.09866593915867986,3,0.039499253937170395,0.035731310795918805,0.017847141209218757,0.018800855763400355,0.0731603497207776,8000,student_t_residual_sd,0.026218359592793193,0.023829967109687863,0.011439914277579736,0.012793528109612259,0.04745166996958845,8000,0.039499253937170395,student_t_residual_sd
2016,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9240.42,555.71,5478.44,205.79,338.55,4897.12,16295.9,1191.11,21659.0,16066.76,4113.42,0.0,175.76999999999998,7133.25,51.21,24041.77,0.1813706249321451,1382.8199999999997,75.34000000000003,1036.8199999999997,-94.57000000000002,13.069999999999993,189.15999999999985,14543.05,15419.474999999999,0.01226760314472444,1191.11,1659.8,2427.9000000000015,0.1076430942039207,0.07724711768721049,0.15745672274834271,0.317593173567842,1064.21,0.0690172655035272,True,2,3,2016.0,2017-04-21,2017-06-30,2017-02-03,934.076182807641,True,True,0.060577690408242894,3,0.045518868069521705,0.04033029043992746,0.022581427928299622,0.02029674641372691,0.08868254031907874,8000,student_t_residual_sd,0.026026269956855943,0.023515909610659382,0.012014930212423704,0.011900003086283185,0.048845068887635186,8000,0.045518868069521705,student_t_residual_sd
2017,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,9657.24,480.31,5843.77,628.41,389.25,5181.35,16902.92,1064.21,25599.2,19576.08,4418.57,0.0,130.72,7668.95,70.05,29726.92,0.1904419175604082,416.8199999999997,-75.40000000000003,365.33000000000084,422.62,50.69999999999999,600.2099999999989,16295.9,16599.41,0.0361585140676686,1064.21,1191.11,3940.2000000000007,0.07175616482754507,0.06411131479974289,0.23736988242353196,0.3121406122265792,1020.75,0.061493149455311966,True,2,3,2017.0,2018-06-26,2018-06-30,2018-02-05,1314.83776784407,True,True,0.07920990974041064,3,0.0495834672870031,0.04418353366986215,0.023748283579129566,0.022573526696925295,0.09329015456651328,8000,student_t_residual_sd,0.027265842738088155,0.024780639673023096,0.011872752665354392,0.01301062219947579,0.04978944783772666,8000,0.0495834672870031,student_t_residual_sd
2018,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,10224.08,719.21,5228.66,645.04,383.51,5336.0,17599.63,1020.75,25839.03,19406.43,4769.43,0.0,143.28,8692.96,85.88,30381.23,0.1731310742649369,566.8400000000001,238.90000000000003,-615.1100000000006,16.629999999999995,-5.740000000000009,953.9400000000007,16902.92,17251.275,0.05529678241173482,1020.75,1064.21,239.8299999999981,0.06168877372831863,0.059169539642722056,0.013902160854777289,0.30931047125502314,1449.85,0.08404306348371351,True,2,3,2018.0,2019-04-24,2019-06-30,2019-02-08,1716.35960937086,True,True,0.09949175405127214,3,0.04709035176093549,0.04154342958351937,0.024848560941528076,0.019540012965503926,0.0934627722585924,8000,student_t_residual_sd,0.024501692391284132,0.022063916450070668,0.011913666276552635,0.010405262752098073,0.047553622301904984,8000,0.04709035176093549,student_t_residual_sd
2019,AAK.ST,AAK AB (publ),Food & Tobacco,Consumer Staples,12623.76,920.78,7087.79,815.77,444.45,5657.86,21490.3,1449.85,26530.94,19303.1,5414.129999999999,0.0,145.17000000000002,9692.62,78.76,42348.71,0.1707578663402713,2399.6800000000003,201.56999999999994,1859.13,170.73000000000002,60.94,570.6500000000005,17599.63,19544.965,0.029196777789062326,1449.85,1020.75,691.9099999999999,0.05222572667692165,0.07418023004901773,0.03540093318151247,0.2894791574198265,2070.5,0.1059352114470402,True,2,3,2019.0,2020-05-24,2020-06-30,2020-01-30,1958.16454383272,True,True,0.10018767205941377,3,0.05478974330282483,0.04870619614388655,0.03611881787930458,0.023566849510656126,0.103001902900833,8000,student_t_residual_sd,0.027946801378265926,0.025617336687467154,0.012280204123586524,0.012690698946232043,0.051265798638312474,8000,0.05478974330282483,student_t_residual_sd
