portfolio_year,cfo_t1_source,specification_label,reference_sample_label,window_rows_initial,window_firms_initial,window_training_years_initial,window_rows_before_cfo_source_filter,rows_dropped_missing_analyst_forecast,rows_dropped_missing_realized_cfo_lead,window_rows_after_cfo_source_filter,portfolio_firms_after_cfo_source_filter,rows_removed_no_portfolio_year_row_after_cfo_filter,firms_removed_no_portfolio_year_row_after_cfo_filter,skipped,skip_reason,portfolio_year_rows_final,training_years_after_cfo_filter,training_rows_after_cfo_filter_before_firm_filter,firms_removed_after_cfo_filter_insufficient_training,rows_removed_after_cfo_filter_insufficient_training,window_dropped_insufficient_training_history,window_rows_final,window_firms_final
2009,hybrid,analyst_cfo_hybrid,,1620,320,5,1620,318,1,1301,0,1301,320,True,no_portfolio_year_rows_after_filters,0,,,,,,,
2010,hybrid,analyst_cfo_hybrid,,1909,329,5,1909,327,0,1582,0,1582,329,True,no_portfolio_year_rows_after_filters,0,,,,,,,
2011,hybrid,analyst_cfo_hybrid,,2018,344,5,2018,342,0,1676,0,1676,344,True,no_portfolio_year_rows_after_filters,0,,,,,,,
2012,hybrid,analyst_cfo_hybrid,,2094,357,5,2094,356,0,1738,0,1738,357,True,no_portfolio_year_rows_after_filters,0,,,,,,,
2013,hybrid,analyst_cfo_hybrid,,2189,374,5,2189,231,0,1958,142,1118,232,False,,142,5.0,698.0,0.0,0.0,False,840.0,142.0
2014,hybrid,analyst_cfo_hybrid,,2273,387,5,2273,227,0,2046,160,1102,227,False,,160,5.0,784.0,0.0,0.0,False,944.0,160.0
2015,hybrid,analyst_cfo_hybrid,,2377,405,5,2377,232,0,2145,173,1129,232,False,,173,5.0,843.0,0.0,0.0,False,1016.0,173.0
2016,hybrid,analyst_cfo_hybrid,,2527,434,5,2527,243,0,2284,191,1165,243,False,,191,5.0,928.0,0.0,0.0,False,1119.0,191.0
2017,hybrid,analyst_cfo_hybrid,,2627,447,5,2627,246,0,2381,201,1196,246,False,,201,5.0,984.0,0.0,0.0,False,1185.0,201.0
2018,hybrid,analyst_cfo_hybrid,,2809,482,5,2809,255,0,2554,227,1238,255,False,,227,5.0,1089.0,0.0,0.0,False,1316.0,227.0
2019,hybrid,analyst_cfo_hybrid,,2965,509,5,2965,264,0,2701,245,1276,264,False,,245,5.0,1180.0,0.0,0.0,False,1425.0,245.0
2020,hybrid,analyst_cfo_hybrid,,3107,529,5,3107,266,0,2841,263,1300,266,False,,263,5.0,1278.0,0.0,0.0,False,1541.0,263.0
2021,hybrid,analyst_cfo_hybrid,,3226,547,5,3226,263,0,2963,284,1295,263,False,,284,5.0,1384.0,0.0,0.0,False,1668.0,284.0
2022,hybrid,analyst_cfo_hybrid,,3359,571,5,3359,260,1,3098,310,1288,261,False,,310,5.0,1500.0,0.0,0.0,False,1810.0,310.0
2023,hybrid,analyst_cfo_hybrid,,3478,591,5,3478,259,1,3218,329,1292,262,False,,329,5.0,1597.0,0.0,0.0,False,1926.0,329.0
2024,hybrid,analyst_cfo_hybrid,,3625,617,5,3625,265,1,3359,351,1303,266,False,,351,5.0,1705.0,0.0,0.0,False,2056.0,351.0
